Lesson,Italian,Pronuncation,Part of Speech,English,EF,Target Date,Interval
1A,buonasera,buònaséra,phrase,good evening,1.5,2020-08-21 23:55:11.481492,2
1A,buonanotte,buònanòtte,phrase,good night,1.5,2020-08-21 23:55:14.783848,2
1A,a,a,prep,to; until,1.5,2020-08-21 23:55:16.499496,2
1A,presto,prèsto,time,soon,1.3,2020-08-21 23:55:22.405472,2
1A,arrivederLa,arrivedérla,phrase,goodbye (for.),1.6,2020-08-21 23:55:28.057638,2
1A,arrivederci,arrivedérci,phrase,goodbye (fam.),1.52,2020-08-21 23:55:35.516705,2
1A,la giornata,giornàta,noun,day (daytime),1.3,2020-08-21 23:55:39.002402,2
1A,il giorno,giórno,noun,day (24 hour period),1.5,2020-08-21 23:55:41.695487,2
1A,buono/a,buòno/a,adj,good,1.5,2020-08-21 23:55:46.262616,2
1A,come,cóme,adv,how,1.5,2020-08-21 23:55:48.376840,2
1A,stare,stàre,verb,estar,1.4,2020-08-21 23:55:50.563619,2
1A,anche,ànche,adv,also; too; even; as well; so; still; besides; further,1.5,2020-08-21 23:55:53.072305,2
1A,così,così,conj/adv,so; that; so as; thus; as; such; this,1.5,2020-08-21 23:55:57.518002,2
1A,così così,così così,phrase ,so-so,1.5,2020-08-21 23:56:03.646056,2
1A,male,màle,adj,bad,1.5,2020-08-21 23:56:07.183843,2
1A,chiamare,chiamàre,verb,to call; to name; to phone,1.5,2020-08-21 23:56:10.016418,2
1A,e,é,conj,and,1.5,2020-08-21 23:56:11.632417,2
1A,presentare,preṣentàre,verb,introduce; present; submit; show,1.3,2020-08-21 23:56:16.046144,2
1A,piacere,piacére,verb,like; please; appeal; care; be fond of,1.3,2020-08-21 23:56:19.322014,2
1A,conoscere,conósscere,verb,know; meet; understand; hear,1.5,2020-08-21 23:56:23.006264,2
1A,grazie,gràzie,phrase,thank you,1.4,2020-08-21 23:56:26.198982,2
1A,di niente,di niènte,phrase,you're welcome,1.3,2020-08-21 23:56:29.415877,2
1A,niente,niènte,noun,nothing,1.5,2020-08-21 23:56:31.776204,2
1A,per favore,per favóre,phrase,please,1.4,2020-08-21 23:56:35.219688,2
1A,scusare,scuṣàre,verb,excuse; apologize; forgive; pardon,1.4,2020-08-21 23:56:39.470834,2
1A,la donna,dònna,noun,woman,1.5,2020-08-21 23:56:41.747617,2
1A,il/la ragazzo/a,ragázzo/a,noun,boy/girl,1.5,2020-08-21 23:56:44.982813,2
1A,il/la signore/a,signóre/a,noun,Mr./Mrs.,1.5,2020-08-21 23:56:49.472822,2
1A,il/la signorino/a,signorìno/a,noun,miss/master,1.5,2020-08-21 23:56:53.702924,2
1A,l'uomo (uomini),uòmo (uòmini),noun,man,1.4,2020-08-21 23:56:57.635276,2
1A,là/lì,la/li,pronoun,there,1.4,2020-08-21 23:59:49.905828,2
1A,qua/qui,qua/qui,pronoun,here,1.4,2020-08-21 23:57:06.447300,2
1A,dopo,dópo,time,after; later; since; past,1.4,2020-08-21 23:57:16.505929,2
1A,prego,prègo,phrase,you're welcome,1.4,2020-08-21 23:57:21.077576,2
1A,più,più,adv,more,1.4,2020-08-21 23:57:24.407833,2
1A,tardi,tàrdi,adv,late,1.4,2020-08-21 23:57:26.935439,2
1A,mille,mìlle,number,thousand ,1.5,2020-08-21 23:57:29.377670,2
1A,bene,bène,adv,good; well; fine,1.5,2020-08-21 23:57:31.551651,2
1A,molto,mólto,adv,very; much; highly,1.5,2020-08-21 23:57:33.680861,2
1A,tutto,tùtto,adj,all; whole; any; every; each,1.4,2020-08-21 23:57:36.648712,2
1A,toccare,toccàre,verb,touch; (someone's) turn,1.4,2020-08-21 23:57:39.601737,2
1A,la lettera,lèttera/léttera,noun,letter (of the alphabet); mail; missive,1.5,2020-08-21 23:57:41.918451,2
1A,(il) l'esempio ,eṣèmpio,noun,example; instance; sample; pattern; model,1.4,2020-08-21 23:57:45.750490,2
1A,(la) l'abilità,abilità,noun,ability; skill; prowess; craft,1.5,2020-08-21 23:57:48.394181,2
1A,la banana,banànan,noun,banana,1.5,2020-08-21 23:57:51.387017,2
1A,la città,città,noun,city; town,1.5,2020-08-21 23:57:53.959601,2
1A,delizioso,delizióṣo,adj,delicious; delightful; delectable; scrumptious,1.5,2020-08-21 23:57:56.653117,2
1A,elegante,elegànte,adj,elegant; stylish; sleek; chic,1.5,2020-08-21 23:57:58.419990,2
1A,famoso,famóṣo,adj,famous; renowned; famed; celebrated,1.5,2020-08-21 23:58:01.214890,2
1A,generoso,generóṣo,adj,generous; large; liberal; lavish,1.5,2020-08-21 23:58:03.221019,2
1A,avere,avére,verb,have; be; get; possess,1.5,2020-08-21 23:58:05.774322,2
1A,(la) l'idea,idèa,noun,idea; mind; notion; intention,1.4,2020-08-21 23:58:08.266134,2
1A,lungo,lùngo,adj,long; lengthy; far; slow; tall,1.5,2020-08-21 23:58:11.609983,2
1A,la mamma,màmma,noun,mom; mum; mother,1.5,2020-08-21 23:58:13.463009,2
1A,la natura ,natùra,noun,nature; kind; type; wildlife; character,1.5,2020-08-21 23:58:15.796254,2
